geo_id,name_x,total_pop,pct_male,median_age,pct_hisp_latino,pce_white,pct_black,pct_american_ind,pct_asian,pct_hawaiian_pacisldr,pct_other_race,name_y,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,per_cap_income,name_x,total_households,avg_household_size,avg_family_size,pop_in_households,pct_bach_degree,name_y,total_housing_units,occupied_housing_units,total_units_in_structure,units_built_after_2014,owner_occupied_units,renter_occupied_units
1400000US11001003000,"Census Tract 30, District of Columbia, District of Columbia",3719,46.9,30.7,21.0,39.8,32.9,0.0,4.4,0.0,0.3,"Census Tract 30, District of Columbia, District of Columbia",4.2,31.8,93523,51823,"Census Tract 30, District of Columbia, District of Columbia",1428,2.57,3.31,3675,66.2,"Census Tract 30, District of Columbia, District of Columbia",1592,1428,1592,0,457,971
1400000US11001003100,"Census Tract 31, District of Columbia, District of Columbia",3409,51.5,33.6,31.5,29.7,29.4,1.0,5.6,0.0,0.0,"Census Tract 31, District of Columbia, District of Columbia",4.6,34.2,109000,54559,"Census Tract 31, District of Columbia, District of Columbia",1306,2.61,3.65,3409,58.9,"Census Tract 31, District of Columbia, District of Columbia",1378,1306,1378,37,681,625
1400000US11001003200,"Census Tract 32, District of Columbia, District of Columbia",5486,46.9,32.3,19.2,26.3,48.6,0.0,5.0,0.0,0.0,"Census Tract 32, District of Columbia, District of Columbia",8.9,34.7,101012,44677,"Census Tract 32, District of Columbia, District of Columbia",1655,3.30,3.94,5457,46.5,"Census Tract 32, District of Columbia, District of Columbia",1914,1655,1914,22,965,690
1400000US11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",4219,46.9,33.2,5.6,43.9,42.1,0.0,4.6,0.0,0.0,"Census Tract 33.01, District of Columbia, District of Columbia",3.7,32.4,123868,64867,"Census Tract 33.01, District of Columbia, District of Columbia",1582,2.66,3.09,4206,78.0,"Census Tract 33.01, District of Columbia, District of Columbia",1717,1582,1717,6,1087,495
1400000US11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",2308,42.3,32.8,4.8,48.9,36.4,0.2,5.3,0.0,1.0,"Census Tract 33.02, District of Columbia, District of Columbia",3.2,32.5,127336,68371,"Census Tract 33.02, District of Columbia, District of Columbia",911,2.49,2.81,2272,80.5,"Census Tract 33.02, District of Columbia, District of Columbia",1036,911,1036,0,517,394
1400000US11001003400,"Census Tract 34, District of Columbia, District of Columbia",4911,43.1,21.6,6.0,27.8,59.3,0.0,3.4,0.1,0.4,"Census Tract 34, District of Columbia, District of Columbia",3.2,31.4,91761,29083,"Census Tract 34, District of Columbia, District of Columbia",1007,2.76,3.14,2776,62.7,"Census Tract 34, District of Columbia, District of Columbia",1374,1007,1374,0,378,629
1400000US11001003500,"Census Tract 35, District of Columbia, District of Columbia",5173,44.0,23.3,6.6,20.8,65.4,0.5,4.0,0.0,0.9,"Census Tract 35, District of Columbia, District of Columbia",4.4,26.9,91638,28822,"Census Tract 35, District of Columbia, District of Columbia",1184,2.28,3.44,2704,61.8,"Census Tract 35, District of Columbia, District of Columbia",1265,1184,1265,174,404,780
1400000US11001003600,"Census Tract 36, District of Columbia, District of Columbia",4904,52.3,32.2,18.2,42.5,24.2,0.0,11.3,0.0,0.0,"Census Tract 36, District of Columbia, District of Columbia",2.4,30.4,100417,59771,"Census Tract 36, District of Columbia, District of Columbia",2064,2.30,3.04,4747,71.9,"Census Tract 36, District of Columbia, District of Columbia",2290,2064,2290,0,656,1408
1400000US11001003700,"Census Tract 37, District of Columbia, District of Columbia",5461,51.7,32.2,27.2,31.9,35.5,0.0,4.0,0.0,0.0,"Census Tract 37, District of Columbia, District of Columbia",4.8,27.5,74980,46694,"Census Tract 37, District of Columbia, District of Columbia",2657,2.01,2.76,5343,52.5,"Census Tract 37, District of Columbia, District of Columbia",3011,2657,3011,0,605,2052
1400000US11001003800,"Census Tract 38, District of Columbia, District of Columbia",5140,53.0,34.4,22.7,48.9,17.9,0.7,5.8,0.4,1.0,"Census Tract 38, District of Columbia, District of Columbia",1.4,32.3,101627,78588,"Census Tract 38, District of Columbia, District of Columbia",2811,1.80,3.08,5070,73.4,"Census Tract 38, District of Columbia, District of Columbia",3017,2811,3017,59,748,2063
