geo_id,name_x,median_age,pct_hisp_latino,pct_black,pct_asian,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,avg_household_size,pct_bach_degree,median_rent,pct_other_minority,pop_density,pct_renter_occupied
1400000US11001005900,"Census Tract 59, District of Columbia, District of Columbia",27.7,8.4,22.5,13.1,5.4,24.7,92000,1.69,74.6,2140,1.4,1.6429980276134122,0.6850756081525312
1400000US11001006400,"Census Tract 64, District of Columbia, District of Columbia",34.8,4.2,74.3,1.2,10.0,27.0,30991,1.98,35.8,635,0.0,1.8028070175438597,0.7557894736842106
1400000US11001006500,"Census Tract 65, District of Columbia, District of Columbia",32.4,9.6,11.1,0.2,4.0,20.6,126964,2.22,87.3,1965,0.1,1.875,0.4205163043478261
1400000US11001006600,"Census Tract 66, District of Columbia, District of Columbia",41.4,2.9,1.8,3.7,2.0,28.2,132396,2.04,90.6,1848,0.0,1.8484304932735427,0.34260089686098655
1400000US11001006700,"Census Tract 67, District of Columbia, District of Columbia",36.8,5.3,12.1,4.1,1.0,31.5,142813,2.46,89.5,1929,0.4,2.285417747794499,0.34250129735339907
1400000US11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",35.4,6.1,37.1,3.7,5.0,30.1,100880,2.42,68.6,1807,0.5,2.199630314232902,0.3955637707948244
1400000US11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",34.2,3.3,29.2,1.3,2.5,30.5,166000,2.45,80.3,1938,0.0,2.393686165273909,0.27298050139275765
1400000US11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",33.3,6.9,83.6,0.0,2.1,27.4,158750,4.03,8.2,0,0.6,82.9375,0.0
1400000US11001006900,"Census Tract 69, District of Columbia, District of Columbia",37.0,5.8,17.0,0.6,0.9,27.6,163125,2.2,82.2,1753,0.0,2.054097056483691,0.3818615751789976
1400000US11001007000,"Census Tract 70, District of Columbia, District of Columbia",31.5,11.4,6.3,2.2,3.7,19.7,143875,2.16,88.6,1935,1.2,2.2614107883817427,0.42904564315352695
1400000US11001007100,"Census Tract 71, District of Columbia, District of Columbia",31.0,5.1,59.3,4.2,11.1,28.5,70000,2.56,49.9,1106,0.0,2.342142857142857,0.5514285714285714
1400000US11001007200,"Census Tract 72, District of Columbia, District of Columbia",31.7,5.8,22.6,4.3,3.9,26.9,115667,1.8,85.8,2265,0.0,1.6624677927283138,0.7520755797308903
1400000US11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",24.0,15.0,25.6,2.3,2.1,16.0,88015,3.27,60.4,2548,0.7,3.4316702819956615,0.925524222704266
1400000US11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",32.5,2.6,92.9,0.0,10.6,30.7,31514,2.98,12.4,937,0.0,2.647496617050068,0.6359945872801083
1400000US11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",27.5,2.5,92.3,1.4,13.5,39.4,13750,2.46,7.6,437,1.5,1.673505798394291,0.5851917930419268
1400000US11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",29.6,0.0,96.7,0.0,4.8,36.5,26419,2.65,6.9,1157,1.5,2.3989681857265692,0.8383490971625107
1400000US11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",27.3,4.6,90.8,0.2,6.1,32.3,52100,3.45,16.5,1241,2.3,2.889458272327965,0.5732064421669106
1400000US11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",21.3,7.9,89.8,0.0,6.6,37.1,23542,3.46,10.4,1428,0.3,2.868703550784476,0.7720891824938068
1400000US11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",32.3,1.8,96.6,0.0,8.3,27.9,40079,2.26,18.5,1133,0.0,2.072036673215455,0.527177472167649
1400000US11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",30.3,0.6,90.6,0.0,10.4,36.4,22879,2.62,9.3,1162,6.8,2.610983981693364,0.6857360793287567
1400000US11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",26.9,4.2,89.3,2.4,16.2,36.4,37153,2.87,13.2,1079,0.0,2.6878824969400243,0.7478580171358629
1400000US11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",34.1,0.0,98.5,0.0,8.9,33.4,27004,2.74,16.0,929,0.0,2.554758488761358,0.6910569105691057
1400000US11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",27.7,1.3,93.3,0.0,7.7,30.9,27206,2.73,18.8,930,0.0,2.435114503816794,0.5610687022900763
1400000US11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",29.8,0.4,99.1,0.0,9.4,37.3,17147,2.49,12.6,968,0.0,2.083457526080477,0.6661698956780924
1400000US11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",38.9,5.0,86.5,0.2,7.7,34.7,36195,2.27,22.1,955,0.0,2.100253807106599,0.5655668358714044
1400000US11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",43.7,7.7,84.8,0.6,2.0,36.7,47645,2.01,36.2,968,0.0,1.8781094527363185,0.48839137645107794
1400000US11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",40.1,4.0,87.0,0.4,9.7,31.0,64193,2.47,26.7,1095,1.2000000000000002,2.2375061850569025,0.6204849084611579
1400000US11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",38.1,6.9,84.7,1.3,10.3,32.0,40239,2.38,23.4,1158,0.0,2.132863340563991,0.6838394793926247
1400000US11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",26.3,4.8,94.4,0.4,11.2,29.1,27879,3.04,6.0,1051,0.3,2.7008892481810833,0.761519805982215
1400000US11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",32.2,1.7,96.0,0.0,6.3,34.9,40168,2.99,14.5,820,0.0,2.6878158338012352,0.46546883773161146
1400000US11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",34.3,0.0,100.0,0.0,9.1,35.1,34167,2.71,1.1,1096,0.0,2.3179059180576633,0.7101669195751138
1400000US11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",39.4,2.9,92.1,0.0,11.6,35.0,29717,2.28,18.6,1045,0.3,2.054560954816709,0.7476555839727195
1400000US11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",33.8,7.9,87.9,0.2,10.7,35.1,40933,2.36,19.9,1079,1.1,2.0888450148075024,0.5533070088845015
1400000US11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",34.0,0.7,94.9,0.4,4.6,34.9,53426,2.85,22.5,789,0.0,2.5604542418169673,0.48363393453573816
1400000US11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",38.0,0.2,96.9,0.0,13.2,37.1,36894,2.36,21.5,972,1.3,2.1559471365638765,0.5215859030837005
1400000US11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",39.3,2.2,93.8,0.3,15.3,43.5,38861,2.63,13.6,1037,0.0,2.422995780590717,0.5780590717299579
1400000US11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",30.8,2.0,96.1,0.3,7.9,41.2,33568,2.68,22.5,836,0.7,2.280833815865663,0.4406485234510712
1400000US11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",34.0,2.7,94.4,0.3,10.5,42.3,51094,2.62,12.7,1064,0.0,2.242424242424242,0.35624538063562455
1400000US11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",33.0,2.7,68.7,0.5,8.2,32.6,67122,2.68,41.9,1225,2.7,2.270167839740119,0.5192203573362209
1400000US11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",35.4,3.8,70.4,1.4,4.5,35.6,85357,2.46,51.5,1389,0.4,2.1461286804798254,0.2998909487459106
1400000US11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",34.9,3.9,24.5,3.3,2.8,30.8,145641,2.45,77.7,2362,0.3,2.289273356401384,0.23529411764705882
1400000US11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",36.3,8.7,25.0,2.0,1.0,28.6,114659,2.13,73.2,1730,0.0,2.0698101653398653,0.3925290875688916
1400000US11001008100,"Census Tract 81, District of Columbia, District of Columbia",36.3,7.3,11.0,3.3,0.6,30.6,148333,2.31,82.0,1845,0.8999999999999999,2.198852772466539,0.4187380497131931
1400000US11001008200,"Census Tract 82, District of Columbia, District of Columbia",31.6,8.8,7.6,3.6,3.6,26.1,130969,2.17,92.2,1845,0.0,2.0722186076772933,0.4183474300585556
1400000US11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",31.8,4.4,9.6,2.4,2.5,29.5,155069,2.26,89.4,2486,0.3,1.822804314329738,0.349768875192604
1400000US11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",34.2,3.3,16.1,5.2,0.5,29.9,143611,2.44,83.0,2037,0.4,2.393398751115076,0.42908117752007136
1400000US11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",35.4,6.8,26.1,1.1,2.7,27.7,81789,1.89,75.2,1310,0.0,1.7513682564503519,0.5160281469898358
1400000US11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",33.3,5.0,35.7,3.8,3.1,33.3,153500,2.65,75.8,2534,0.3,2.3271604938271606,0.2808641975308642
1400000US11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",33.4,9.1,49.4,2.7,0.7,34.5,113224,2.65,66.1,2212,0.0,2.4119402985074627,0.34427860696517415
1400000US11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",33.9,8.7,52.9,4.9,5.5,32.3,79446,2.02,61.3,1768,0.3,1.8265002970885325,0.6458704693998811
1400000US11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",35.3,2.9,67.7,1.7,6.5,29.1,67176,2.47,41.7,1091,1.0,2.220398009950249,0.4721393034825871
1400000US11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",26.6,12.4,59.5,1.9,8.0,25.9,32250,2.26,27.7,1330,0.6000000000000001,3.371359223300971,0.6941747572815534
1400000US11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",33.3,6.9,74.1,6.5,6.4,36.2,42750,2.28,25.0,1127,0.6,2.0134275618374557,0.5971731448763251
1400000US11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",31.1,4.1,76.7,2.7,5.3,30.6,44174,2.19,41.8,1328,0.2,1.9086236436322102,0.7184466019417476
1400000US11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",33.9,11.8,78.8,0.6,8.9,38.8,38277,2.33,20.5,999,0.0,2.037593984962406,0.7854636591478696
1400000US11001009000,"Census Tract 90, District of Columbia, District of Columbia",45.6,8.9,83.9,0.4,1.7,35.1,59487,1.76,45.9,493,0.8,1.7220402433317734,0.4805802526906879
1400000US11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",32.3,3.8,83.3,1.6,8.0,32.2,43919,2.34,33.5,980,0.0,2.2047812359043752,0.6463689670726207
1400000US11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",28.7,11.7,37.3,3.0,4.0,26.2,82500,2.35,72.1,1675,0.0,2.470257234726688,0.565112540192926
1400000US11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",37.3,9.2,68.2,0.3,5.5,31.4,72750,2.41,51.0,1240,1.7000000000000002,2.2558314522197143,0.42663656884875845
1400000US11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",31.8,9.4,79.2,0.4,9.7,34.2,21150,2.07,18.6,819,0.4,1.893835616438356,0.7452054794520548
1400000US11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",42.2,7.1,47.5,4.5,6.3,29.0,97813,2.82,57.6,1315,0.2,2.720820189274448,0.19873817034700317
1400000US11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",40.0,15.2,57.0,0.0,7.6,29.2,73603,2.6,47.3,1150,0.0,2.4731369150779896,0.30155979202772965
1400000US11001009400,"Census Tract 94, District of Columbia, District of Columbia",41.5,3.7,76.4,2.1,6.3,33.4,96953,2.89,41.5,1093,1.2,2.665557404326123,0.16472545757071547
1400000US11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",22.4,26.8,42.9,3.3,5.2,26.7,44443,2.66,27.6,1199,0.30000000000000004,3.6976626016260163,0.7748983739837398
